route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,NMBS/SNCB,IC,Courtrai -- Poperinge,,103,,,
10,NMBS/SNCB,L,Audenarde -- Eeklo,,100,,,
100,NMBS/SNCB,BUS,Dinant -- Gendron-Celles,,700,,,
101,NMBS/SNCB,BUS,Maastricht (NL) -- Visé,,700,,,
102,NMBS/SNCB,BUS,Gembloux -- Namur,,700,,,
103,NMBS/SNCB,BUS,Arlon -- Athus,,700,,,
104,NMBS/SNCB,BUS,Maastricht (NL) -- Liège-Guillemins,,700,,,
105,NMBS/SNCB,BUS,Liège-Guillemins -- Rivage,,700,,,
106,NMBS/SNCB,BUS,Liège-Guillemins -- Welkenraedt,,700,,,
107,NMBS/SNCB,BUS,Dinant -- Houyet,,700,,,
108,NMBS/SNCB,BUS,Landen -- Liège-Guillemins,,700,,,
109,NMBS/SNCB,BUS,Namur -- Rochefort-Jemelle,,700,,,
11,NMBS/SNCB,IC,Welkenraedt -- Gand-Saint-Pierre,,103,,,
110,NMBS/SNCB,BUS,Verviers-Central -- Spa-Géronstère,,700,,,
111,NMBS/SNCB,BUS,Rochefort-Jemelle -- Bomal,,700,,,
112,NMBS/SNCB,BUS,Marloie -- Bomal,,700,,,
113,NMBS/SNCB,BUS,Rhisnes -- Namur,,700,,,
114,NMBS/SNCB,BUS,Ciney -- Sart-Bernard,,700,,,
115,NMBS/SNCB,BUS,Ottignies -- Bruxelles-Midi,,700,,,
116,NMBS/SNCB,BUS,Bruxelles-Luxembourg -- Ottignies,,700,,,
117,NMBS/SNCB,BUS,Liège-Guillemins -- Verviers-Central,,700,,,
118,NMBS/SNCB,BUS,Liège-Guillemins -- Liège-Saint-Lambert,,700,,,
119,NMBS/SNCB,BUS,Beauraing -- Bertrix,,700,,,
12,NMBS/SNCB,IC,Liège-Guillemins -- Gouvy,,103,,,
120,NMBS/SNCB,BUS,Liège-Guillemins -- Herstal,,700,,,
121,NMBS/SNCB,BUS,Namur -- Tamines,,700,,,
122,NMBS/SNCB,BUS,Welkenraedt -- Eupen,,700,,,
123,NMBS/SNCB,BUS,Ottignies -- Louvain,,700,,,
124,NMBS/SNCB,BUS,Ottignies -- Sint-Joris-Weert,,700,,,
125,NMBS/SNCB,BUS,Ottignies -- Gembloux,,700,,,
126,NMBS/SNCB,BUS,Ottignies -- Wavre,,700,,,
127,NMBS/SNCB,BUS,Ottignies -- Namur,,700,,,
128,NMBS/SNCB,BUS,Tournai -- Ath,,700,,,
129,NMBS/SNCB,BUS,Mons -- Quévy,,700,,,
13,NMBS/SNCB,L,Bruges -- Zeebrugge-Dorp,,100,,,
130,NMBS/SNCB,BUS,Saint-Ghislain -- Tournai,,700,,,
131,NMBS/SNCB,BUS,Braine-le-Comte -- Saint-Ghislain,,700,,,
132,NMBS/SNCB,BUS,La Louvière-Sud -- Tournai,,700,,,
133,NMBS/SNCB,BUS,La Louvière-Centre -- La Louvière-Sud,,700,,,
134,NMBS/SNCB,BUS,Jurbise -- Braine-le-Comte,,700,,,
135,NMBS/SNCB,BUS,Mons -- Saint-Ghislain,,700,,,
